image_id,label,split,image_path,label_path
ISIC_0024673,bcc,train,/kaggle/working/balanced_dataset_1/images/train/bcc/ISIC_0024673.jpg,/kaggle/working/balanced_dataset_1/labels/train/bcc/ISIC_0024673.txt
ISIC_0033551,bcc,train,/kaggle/working/balanced_dataset_1/images/train/bcc/ISIC_0033551.jpg,/kaggle/working/balanced_dataset_1/labels/train/bcc/ISIC_0033551.txt
ISIC_0027146,bcc,train,/kaggle/working/balanced_dataset_1/images/train/bcc/ISIC_0027146.jpg,/kaggle/working/balanced_dataset_1/labels/train/bcc/ISIC_0027146.txt
ISIC_0028583,bcc,train,/kaggle/working/balanced_dataset_1/images/train/bcc/ISIC_0028583.jpg,/kaggle/working/balanced_dataset_1/labels/train/bcc/ISIC_0028583.txt
ISIC_0033203,bcc,train,/kaggle/working/balanced_dataset_1/images/train/bcc/ISIC_0033203.jpg,/kaggle/working/balanced_dataset_1/labels/train/bcc/ISIC_0033203.txt
ISIC_0025383,bcc,train,/kaggle/working/balanced_dataset_1/images/train/bcc/ISIC_0025383.jpg,/kaggle/working/balanced_dataset_1/labels/train/bcc/ISIC_0025383.txt
ISIC_0033366,bcc,train,/kaggle/working/balanced_dataset_1/images/train/bcc/ISIC_0033366.jpg,/kaggle/working/balanced_dataset_1/labels/train/bcc/ISIC_0033366.txt
ISIC_0027722,bcc,train,/kaggle/working/balanced_dataset_1/images/train/bcc/ISIC_0027722.jpg,/kaggle/working/balanced_dataset_1/labels/train/bcc/ISIC_0027722.txt
ISIC_0032092,bcc,train,/kaggle/working/balanced_dataset_1/images/train/bcc/ISIC_0032092.jpg,/kaggle/working/balanced_dataset_1/labels/train/bcc/ISIC_0032092.txt
ISIC_0029779,bcc,train,/kaggle/working/balanced_dataset_1/images/train/bcc/ISIC_0029779.jpg,/kaggle/working/balanced_dataset_1/labels/train/bcc/ISIC_0029779.txt
ISIC_0028486,bcc,train,/kaggle/working/balanced_dataset_1/images/train/bcc/ISIC_0028486.jpg,/kaggle/working/balanced_dataset_1/labels/train/bcc/ISIC_0028486.txt
ISIC_0026156,bcc,train,/kaggle/working/balanced_dataset_1/images/train/bcc/ISIC_0026156.jpg,/kaggle/working/balanced_dataset_1/labels/train/bcc/ISIC_0026156.txt
ISIC_0029341,bcc,train,/kaggle/working/balanced_dataset_1/images/train/bcc/ISIC_0029341.jpg,/kaggle/working/balanced_dataset_1/labels/train/bcc/ISIC_0029341.txt
ISIC_0033468,bcc,train,/kaggle/working/balanced_dataset_1/images/train/bcc/ISIC_0033468.jpg,/kaggle/working/balanced_dataset_1/labels/train/bcc/ISIC_0033468.txt
ISIC_0029951,bcc,train,/kaggle/working/balanced_dataset_1/images/train/bcc/ISIC_0029951.jpg,/kaggle/working/balanced_dataset_1/labels/train/bcc/ISIC_0029951.txt
ISIC_0026528,bcc,train,/kaggle/working/balanced_dataset_1/images/train/bcc/ISIC_0026528.jpg,/kaggle/working/balanced_dataset_1/labels/train/bcc/ISIC_0026528.txt
ISIC_0027297,bcc,train,/kaggle/working/balanced_dataset_1/images/train/bcc/ISIC_0027297.jpg,/kaggle/working/balanced_dataset_1/labels/train/bcc/ISIC_0027297.txt
ISIC_0026970,bcc,train,/kaggle/working/balanced_dataset_1/images/train/bcc/ISIC_0026970.jpg,/kaggle/working/balanced_dataset_1/labels/train/bcc/ISIC_0026970.txt
ISIC_0024572,bcc,train,/kaggle/working/balanced_dataset_1/images/train/bcc/ISIC_0024572.jpg,/kaggle/working/balanced_dataset_1/labels/train/bcc/ISIC_0024572.txt
ISIC_0030737,bcc,train,/kaggle/working/balanced_dataset_1/images/train/bcc/ISIC_0030737.jpg,/kaggle/working/balanced_dataset_1/labels/train/bcc/ISIC_0030737.txt
ISIC_0033372,bcc,train,/kaggle/working/balanced_dataset_1/images/train/bcc/ISIC_0033372.jpg,/kaggle/working/balanced_dataset_1/labels/train/bcc/ISIC_0033372.txt
ISIC_0030335,bcc,train,/kaggle/working/balanced_dataset_1/images/train/bcc/ISIC_0030335.jpg,/kaggle/working/balanced_dataset_1/labels/train/bcc/ISIC_0030335.txt
ISIC_0028807,bcc,train,/kaggle/working/balanced_dataset_1/images/train/bcc/ISIC_0028807.jpg,/kaggle/working/balanced_dataset_1/labels/train/bcc/ISIC_0028807.txt
ISIC_0026230,bcc,train,/kaggle/working/balanced_dataset_1/images/train/bcc/ISIC_0026230.jpg,/kaggle/working/balanced_dataset_1/labels/train/bcc/ISIC_0026230.txt
